target,delta_aox,classification,gamma_pn,gamma_pn_lo,gamma_pn_hi,dof_pn,gamma_combined,gamma_combined_lo,gamma_combined_hi,dof_combined,gamma_mos,gamma_mos_lo,gamma_mos_hi,dof_mos,hr_median,hr_lo,hr_hi,fvar,fvar_err
SDSS_J142402.13+382104.1,-0.23740904501308435,normal,1.6802906029969873,1.283049808881884,2.136114810084,66.0,1.344137543697444,1.063360474881953,1.6329668552036685,121.0,0.945343061269076,0.5269527432184458,1.358976957429189,53.0,-0.910621,-1.0,-0.820726,0.0,0.38675221801361004
SDSS_J124941.89+252838.9,-0.20714825983197827,normal,,,,,,,,,,,,,,,,,
SDSS_J131952.38-022543.3,-0.11124851306092509,normal,1.692292056061486,1.512509375979133,1.8831630307497231,262.0,1.7282970722152833,1.587613001167761,1.8777595173084531,433.0,1.8366764749582971,1.6031040243423458,2.0973855034001554,169.0,-0.586495,-0.69914,-0.46425,0.0,0.17213146949503388
SDSS_J130616.67+310529.2,-0.073697565114756,normal,,,,,,,,,,,,,-0.054389,-1.0,0.492017,0.0,0.6818500302924805
SDSS_J091718.73+283845.1,0.006746296550794284,normal,1.1699189631306983,0.7018925113279113,1.7181810722776416,67.0,-0.37545546019398723,0.0,0.6188936924389976,112.0,-0.3999999080440023,0.0,0.0,43.0,-0.356437,-0.627224,-0.084214,,
SDSS_J102413.91+470512.0,-0.00514406662793121,normal,0.5488430291648744,0.0,0.0,108.0,0.6301885682718834,0.0,0.0,224.0,4.90553631203235,0.0,0.0,114.0,0.300011,-0.056311,1.0,,
SDSS_J232344.20-005106.9,-0.0059049186238055995,normal,2.128526856460646,1.8834227228778182,2.3990967294391354,156.0,2.103392431468977,1.916689890360605,2.3032615051092744,313.0,2.04672545003094,1.7641373776019982,2.3539969388009103,155.0,-0.870942,-1.0,-0.799405,0.0,0.1941927977915425
SDSS_J125005.72+263107.5,0.6027767584634773,strong,2.068322709247404,2.0365703175898764,2.100549210865736,708.0,2.0757269491346455,2.0522261452380124,2.099472128164295,1751.0,2.083913105743001,2.048530189383365,2.1197622903527646,1041.0,-0.625207,-0.640267,-0.610587,0.035440058,0.003842479774054374
SDSS_J090404.15+151254.5,0.3713924960615813,strong,1.9644389876257764,1.9064708578941296,2.023503565068167,522.0,1.9446318349841891,1.9049799321037262,1.9847683678407795,1386.0,1.9303611079043226,1.875072821404246,1.9862869139778876,862.0,-0.609391,-0.6397,-0.580534,0.0,0.020023185689806978
SDSS_J085141.76+161221.9,0.32034272050883317,strong,0.7846693944974699,0.42456466151084704,1.1599736881937666,168.0,1.225246449161349,0.8914087112255815,1.6297559301679772,203.0,3.0346909768088297,2.3026888809289,3.8466324825090004,33.0,-0.105481,-0.281907,0.078971,,
SDSS_J111350.94+401721.4,0.4106516816509078,strong,,,,,,,,,,,,,,,,,
SDSS_J115010.22+550709.1,0.6221719288659031,strong,,,,,,,,,,,,,,,,,
SDSS_J141249.20+440125.8,0.768727140971091,strong,,,,,,,,,,,,,,,,,
SDSS_J121732.69+465829.3,0.5551589572660056,strong,,,,,,,,,,,,,,,,,
SDSS_J212951.16+004808.8,0.3640433661687439,strong,1.9058320479186979,1.8365138660180977,1.976582005705982,541.0,1.8661365038285807,1.814706859362736,1.9182110914859756,1150.0,1.812826400385072,1.735325548242098,1.8914856019172719,607.0,-0.570439,-0.609242,-0.534364,0.0,0.024901155054320754
SDSS_J160126.31+511038.2,0.3999746761720395,strong,,,,,0.21816708790356631,0.0,0.0,167.0,,,,,,,,,
SDSS_J092541.34+131938.9,0.3218340371597286,strong,2.245745466633012,2.1439937521879413,2.350911014084993,352.0,2.1680485721889577,2.088684016989067,2.2494214389726146,713.0,1.998249165694549,1.873798378844878,2.1279495557149133,359.0,-0.688014,-0.737301,-0.638451,0.0,0.029838426622080312
SDSS_J002239.10+012950.2,0.3370060552442915,strong,2.1303983555818333,2.0316101138585005,2.232551460880707,401.0,2.068397350675943,1.9854523988430526,2.1535195472197772,748.0,1.8849764355400438,1.732079981251875,2.044433256973152,345.0,-0.656137,-0.706592,-0.606083,0.0,0.03896677059658542
SDSS_J120450.78+442834.2,0.5564070347834118,strong,,,,,,,,,,,,,,,,,
SDSS_J133930.74+481917.7,0.4808227236327909,strong,,,,,,,,,,,,,,,,,
SDSS_J123508.21+391419.9,0.35622574630932746,strong,1.9293425888163527,1.7164257141874657,2.1583595651250524,152.0,1.8839473010451588,1.715650761076597,2.0614186801682344,286.0,1.781631727344802,1.5152674181772767,2.0692684628529636,132.0,-0.621125,-0.753818,-0.473773,0.0,0.20598186547772127
SDSS_J132212.25+560725.3,0.4842108730568917,strong,,,,,,,,,,,,,,,,,
