instrument,energy_kev,counts,error
pn,0.556,0.0,1.0
pn,0.557,0.0,1.0
pn,0.558,0.0,1.0
pn,0.559,0.0,1.0
pn,0.56,0.0,1.0
pn,0.561,0.0,1.0
pn,0.562,0.0,1.0
pn,0.563,1.0,1.0
pn,0.564,0.0,1.0
pn,0.565,0.0,1.0
pn,0.566,0.0,1.0
pn,0.567,0.0,1.0
pn,0.568,0.0,1.0
pn,0.569,0.0,1.0
pn,0.57,1.0,1.0
pn,0.571,0.0,1.0
pn,0.572,0.0,1.0
pn,0.573,0.0,1.0
pn,0.574,0.0,1.0
pn,0.575,0.0,1.0
pn,0.576,0.0,1.0
pn,0.577,1.0,1.0
pn,0.578,0.0,1.0
pn,0.579,0.0,1.0
pn,0.58,0.0,1.0
pn,0.581,0.0,1.0
pn,0.582,0.0,1.0
pn,0.583,2.0,1.4142135623730951
pn,0.584,0.0,1.0
pn,0.585,0.0,1.0
pn,0.586,0.0,1.0
pn,0.587,0.0,1.0
pn,0.588,1.0,1.0
pn,0.589,0.0,1.0
pn,0.59,1.0,1.0
pn,0.591,0.0,1.0
pn,0.592,0.0,1.0
pn,0.593,0.0,1.0
pn,0.594,0.0,1.0
pn,0.595,0.0,1.0
pn,0.596,0.0,1.0
pn,0.597,0.0,1.0
pn,0.598,0.0,1.0
pn,0.599,1.0,1.0
pn,0.6,0.0,1.0
pn,0.601,0.0,1.0
pn,0.602,0.0,1.0
pn,0.603,0.0,1.0
pn,0.604,0.0,1.0
pn,0.605,1.0,1.0
pn,0.606,1.0,1.0
pn,0.607,0.0,1.0
pn,0.608,1.0,1.0
pn,0.609,0.0,1.0
pn,0.61,0.0,1.0
pn,0.611,1.0,1.0
pn,0.612,1.0,1.0
pn,0.613,1.0,1.0
pn,0.614,0.0,1.0
pn,0.615,0.0,1.0
pn,0.616,0.0,1.0
pn,0.617,1.0,1.0
pn,0.618,0.0,1.0
pn,0.619,0.0,1.0
pn,0.62,1.0,1.0
pn,0.621,0.0,1.0
pn,0.622,1.0,1.0
pn,0.623,0.0,1.0
pn,0.624,0.0,1.0
pn,0.625,0.0,1.0
pn,0.626,0.0,1.0
pn,0.627,0.0,1.0
pn,0.628,0.0,1.0
pn,0.629,1.0,1.0
pn,0.63,0.0,1.0
pn,0.631,1.0,1.0
pn,0.632,0.0,1.0
pn,0.633,1.0,1.0
pn,0.634,0.0,1.0
pn,0.635,1.0,1.0
pn,0.636,1.0,1.0
